anomesdia,geracao_gas_fossil,geracao_carvao_duro,carga_total_real,preco_dia_seguinte,preco_real,temperatura,velocidade_vento
2015-02-15,3502.2083333333335,2062.875,26584.916666666668,29.55625,43.89458333333334,284.42479817708335,4.25
2015-02-16,5056.375,4434.0,31123.0,51.06166666666666,65.6575,283.56654843750005,2.7916666666666665
2015-02-17,3859.0416666666665,3511.0,32302.875,39.37708333333333,52.99666666666667,282.50681380208334,5.683333333333334
2015-02-18,4961.5,4683.708333333333,32261.708333333332,46.62166666666667,60.54666666666666,282.50255833333335,4.008333333333334
2015-02-19,6141.125,5480.541666666667,31705.291666666668,56.295833333333334,70.765,281.8334372395833,2.566666666666667
2015-02-20,5305.875,5488.916666666667,31627.458333333332,52.08708333333333,65.74083333333333,281.22277864583333,2.05
2015-02-21,3672.9166666666665,1969.9583333333333,28541.916666666668,33.83,45.971250000000005,281.9853122395833,4.216666666666667
2015-02-22,3361.4166666666665,1239.625,26456.375,16.874583333333334,31.667916666666667,282.29834583333337,4.033333333333333
2015-02-23,3535.375,1494.9583333333333,31400.416666666668,29.129583333333336,44.3525,283.33298776041664,4.35
2015-02-24,3838.5416666666665,1449.5833333333333,32146.333333333332,26.90875,42.372499999999995,282.63815442708335,5.35
2015-02-25,3855.125,1908.7083333333333,31954.5,34.2275,48.83416666666667,283.5466703125,4.058333333333334
2015-02-26,4085.0416666666665,2218.9583333333335,31290.625,40.787083333333335,54.82958333333333,285.51478359375,3.05
2015-02-27,3882.625,2253.5,30549.083333333332,39.339166666666664,53.44041666666667,283.1671083333333,3.05
2015-02-28,3747.625,2173.0833333333335,27201.708333333332,35.707499999999996,47.224583333333335,283.06796302083336,1.4583333333333333
2015-03-01,5023.25,5924.5,27685.125,52.91,38.980000000000004,286.80246927083334,1.8083333333333333
2015-03-02,4645.708333333333,4906.708333333333,33519.833333333336,44.29291666666666,57.51875,288.05720364583334,1.4166666666666667
2015-03-03,5634.833333333333,4198.0,29416.583333333332,53.92875,66.03625000000001,286.82465859375003,1.4916666666666667
2015-03-04,4151.801652892562,1705.9752066115702,21623.438016528926,35.638842975206614,46.9595867768595,285.2597727272728,3.256198347107438
2015-03-05,5193.208333333333,2672.75,22964.791666666668,39.26,41.6625,283.8994294270833,3.783333333333333
2015-03-06,4803.166666666667,7198.75,29636.125,55.67958333333333,61.187916666666666,283.6498671875,2.591666666666667
2015-03-07,5253.0,7184.083333333333,31734.25,60.23458333333333,57.54625,285.081090625,1.75
2015-03-08,5922.791666666667,7071.958333333333,30321.541666666668,60.84083333333333,51.38708333333333,284.88888151041664,1.375
2015-03-09,5004.125,6833.958333333333,29199.125,54.79833333333333,58.5975,285.65882135416666,1.525
2015-03-10,4911.916666666667,6209.708333333333,24920.25,49.89625,64.65666666666667,285.24857265625,1.3333333333333333
2015-03-11,5088.708333333333,6046.583333333333,28499.25,48.82333333333334,60.0775,285.49743125,1.3333333333333333
2015-03-12,7539.375,7209.291666666667,30899.416666666668,60.86875,58.5775,285.2698979166667,1.875
2015-03-13,4000.25,3406.5,29188.208333333332,42.05041666666667,53.544999999999995,283.1577078125,2.2333333333333334
2015-03-14,3806.9166666666665,2572.9166666666665,26784.208333333332,40.763333333333335,51.34291666666666,281.2154,2.6083333333333334
2015-03-15,4277.25,3213.3333333333335,25076.75,41.545833333333334,53.940000000000005,280.66695937500003,1.675
2015-03-16,5760.791666666667,5539.25,29913.25,54.13458333333333,67.42083333333333,280.52581171875005,1.4083333333333334
2015-03-17,4489.666666666667,5694.916666666667,30662.958333333332,46.43458333333333,58.136250000000004,281.51932838541666,2.933333333333333
2015-03-18,4487.958333333333,4924.208333333333,30866.25,46.34583333333333,58.3025,282.584271875,3.8333333333333335
2015-03-19,3968.4583333333335,3261.5,28815.75,38.51708333333333,51.32791666666667,283.70464661458334,4.391666666666667
2015-03-20,3901.280991735537,2781.3884297520663,29776.80991735537,39.58719008264463,51.78132231404959,283.8070924586777,5.099173553719008
2015-03-21,4225.208333333333,2570.4166666666665,27269.666666666668,43.162083333333335,54.236250000000005,283.1134799479167,3.716666666666667
2015-03-22,4017.3333333333335,1635.2916666666667,25421.583333333332,40.89333333333333,53.538333333333334,282.91197890625,3.1333333333333333
2015-03-23,5214.625,4405.333333333333,30592.0,52.65416666666667,65.13125,282.26514140625,2.7416666666666667
2015-03-24,4401.583333333333,4452.25,31247.958333333332,46.17875,57.68666666666666,282.11566640625,3.8666666666666667
2015-03-25,3883.875,3144.7083333333335,30924.458333333332,42.62916666666667,54.34458333333334,280.91283281249997,4.583333333333333
2015-03-26,4151.625,3522.625,30121.625,45.001666666666665,56.377500000000005,282.426246875,2.95
2015-03-27,4239.666666666667,3589.25,29640.75,46.24375,58.037083333333335,286.3600833333333,2.191666666666667
2015-03-28,3836.5416666666665,2142.7083333333335,25873.208333333332,43.43625,55.62125,287.7674598958334,1.4916666666666667
2015-03-29,3614.25,1312.625,23578.25,30.70041666666667,45.70166666666667,287.74749557291665,1.8333333333333333
